Market,Pair,Total Quantity,Remaining Quantity,Price Per Unit,Avg Price,Fee Amount,Side,Order Type,Status,Exchnage code,Created At,Updated At
DOGEINR,I-DOGE_INR,5.0,5.0,27.0,0.0,0.0,buy,limit_order,cancelled,I,2021-06-02 09:55:19 UTC,2021-06-02 10:59:16 UTC
DOGEINR,I-DOGE_INR,40.0,40.0,28.0,0.0,0.0,buy,limit_order,cancelled,I,2021-06-02 09:54:39 UTC,2021-06-02 10:56:39 UTC
DOGEINR,I-DOGE_INR,32.0,32.0,25.0,0.0,0.0,buy,limit_order,cancelled,I,2021-06-02 03:43:21 UTC,2021-06-02 09:52:57 UTC
DOGEINR,I-DOGE_INR,30.0,30.0,26.0,0.0,0.0,buy,limit_order,cancelled,I,2021-06-02 03:44:11 UTC,2021-06-02 09:52:56 UTC
DOGEINR,I-DOGE_INR,15.0,15.0,28.2,0.0,0.0,buy,limit_order,cancelled,I,2021-06-02 07:06:31 UTC,2021-06-02 09:52:55 UTC
DOGEINR,I-DOGE_INR,18.0,18.0,28.5,0.0,0.0,buy,limit_order,cancelled,I,2021-06-02 07:09:26 UTC,2021-06-02 09:52:54 UTC
DOGEINR,I-DOGE_INR,10.0,0.0,30.1,30.1,0.301,sell,limit_order,filled,I,2021-06-02 03:44:36 UTC,2021-06-02 07:06:54 UTC
DOGEINR,I-DOGE_INR,15.0,0.0,29.4,29.4,0.441,sell,limit_order,filled,I,2021-06-02 06:51:49 UTC,2021-06-02 07:05:13 UTC
DOGEINR,I-DOGE_INR,15.0,0.0,29.3,29.3,0.4395,sell,limit_order,filled,I,2021-06-02 06:53:45 UTC,2021-06-02 07:03:13 UTC
DOGEINR,I-DOGE_INR,10.0,10.0,29.6,0.0,0.0,sell,limit_order,cancelled,I,2021-06-02 04:02:06 UTC,2021-06-02 04:26:09 UTC
DOGEINR,I-DOGE_INR,30.0,0.0,27.0,27.0,0.81,sell,limit_order,filled,I,2021-05-28 19:16:21 UTC,2021-06-01 22:00:01 UTC
DOGEINR,I-DOGE_INR,30.0,0.0,26.5,26.5,0.795,sell,limit_order,filled,I,2021-05-28 19:15:10 UTC,2021-06-01 20:34:49 UTC
MATICINR,I-MATIC_INR,5.0,5.0,140.0,0.0,0.0,buy,limit_order,cancelled,I,2021-06-01 08:32:29 UTC,2021-06-01 16:17:28 UTC
ADAINR,I-ADA_INR,3.0,0.0,126.0,126.0,0.378,buy,limit_order,filled,I,2021-05-30 11:34:17 UTC,2021-05-30 12:49:40 UTC
ADAINR,I-ADA_INR,3.0,3.0,125.18,0.0,0.0,buy,limit_order,cancelled,I,2021-05-30 10:03:29 UTC,2021-05-30 11:34:05 UTC
